section,key,value
batch:batch-37,processing_time,4.0
batch:batch-37,stages_count,3
batch:batch-37,completed,False
batch:batch-37,rejected,True
batch:batch-37,waited_in_queue,True
batch:batch-37,status,rejected
batch:batch-38,batch_id,batch-38
batch:batch-38,cycle_time,6.0
batch:batch-38,queue_wait_time,0.0
batch:batch-38,processing_time,4.0
batch:batch-38,stages_count,3
batch:batch-38,completed,False
batch:batch-38,rejected,True
batch:batch-38,waited_in_queue,False
batch:batch-38,status,rejected
batch:batch-39,batch_id,batch-39
batch:batch-39,cycle_time,5.0
batch:batch-39,queue_wait_time,0.0
batch:batch-39,processing_time,4.0
batch:batch-39,stages_count,3
batch:batch-39,completed,False
batch:batch-39,rejected,True
batch:batch-39,waited_in_queue,False
batch:batch-39,status,rejected
batch:batch-40,batch_id,batch-40
batch:batch-40,cycle_time,70.0
batch:batch-40,queue_wait_time,0.0
batch:batch-40,processing_time,16.0
batch:batch-40,stages_count,3
batch:batch-40,completed,True
batch:batch-40,rejected,False
batch:batch-40,waited_in_queue,True
batch:batch-40,status,completed
batch:batch-41,batch_id,batch-41
batch:batch-41,cycle_time,5.0
batch:batch-41,queue_wait_time,0.0
batch:batch-41,processing_time,4.0
batch:batch-41,stages_count,3
batch:batch-41,completed,False
batch:batch-41,rejected,True
batch:batch-41,waited_in_queue,False
batch:batch-41,status,rejected
batch:batch-42,batch_id,batch-42
batch:batch-42,cycle_time,8.0
batch:batch-42,queue_wait_time,0.0
batch:batch-42,processing_time,4.0
batch:batch-42,stages_count,3
batch:batch-42,completed,False
batch:batch-42,rejected,True
batch:batch-42,waited_in_queue,False
batch:batch-42,status,rejected
batch:batch-43,batch_id,batch-43
batch:batch-43,cycle_time,70.0
batch:batch-43,queue_wait_time,0.0
batch:batch-43,processing_time,16.0
batch:batch-43,stages_count,3
batch:batch-43,completed,True
batch:batch-43,rejected,False
batch:batch-43,waited_in_queue,True
batch:batch-43,status,completed
batch:batch-44,batch_id,batch-44
batch:batch-44,cycle_time,7.0
batch:batch-44,queue_wait_time,2.0
batch:batch-44,processing_time,4.0
batch:batch-44,stages_count,3
batch:batch-44,completed,False
batch:batch-44,rejected,True
batch:batch-44,waited_in_queue,True
batch:batch-44,status,rejected
batch:batch-45,batch_id,batch-45
batch:batch-45,cycle_time,5.0
batch:batch-45,queue_wait_time,0.0
batch:batch-45,processing_time,4.0
batch:batch-45,stages_count,3
batch:batch-45,completed,False
batch:batch-45,rejected,True
batch:batch-45,waited_in_queue,False
batch:batch-45,status,rejected
batch:batch-46,batch_id,batch-46
batch:batch-46,cycle_time,4.0
